r [m],S_e at t_1 - 0.2 ns [m^-3s^-1],div(Gamma_e) at t_1 - 0.2 ns [m^-3s^-1],S_e at t_1 - 0.1 ns [m^-3s^-1],div(Gamma_e) at t_1 - 0.1 ns [m^-3s^-1],S_e at t_1 [m^-3s^-1],div(Gamma_e) at t_1,S_e  at t_1 + 0.1 ns [m^-3s^-1],div(Gamma_e) at t_1 + 0.1 ns [m^-3s^-1],S_e  at t_1 + 0.2 ns [m^-3s^-1],div(Gamma_e) at t_1 + 0.2 ns [m^-3s^-1]
1.06100001479733E-22,1.67241245508194E28,1.44354356452823E28,9.54147696495056E29,8.7164705991745E29,6.26739597320557E30,4.54712915420532E30,6.50515556335449E29,-3.47360444068909E30,9.16607081890106E28,-6.06202840805054E29
8.95261007826775E-7,1.66938826441765E28,1.4411591924727E28,9.56707298755646E29,8.75628113746643E29,6.04901933670044E30,4.26577472686768E30,6.13640427589416E29,-3.4011504650116E30,9.21062231063843E28,-5.1824426651001E29
9.58753051236272E-7,1.66947077959776E28,1.44125819206238E28,9.57296133041382E29,8.76205921173096E29,6.06308126449585E30,4.30284357070923E30,6.16441190242767E29,-3.41733384132385E30,9.22131091356277E28,-5.24982690811157E29
1.02785998024046E-6,1.66855994611979E28,1.44046815112233E28,9.56796228885651E29,8.75766277313232E29,6.05624294281006E30,4.28099203109741E30,6.14527821540833E29,-3.40632796287537E30,9.22305136919022E28,-5.19147217273712E29
1.95029994938523E-6,1.66104082018137E28,1.43382456153631E28,9.5149427652359E29,8.69230031967163E29,6.38451719284058E30,4.73350048065186E30,6.78599655628204E29,-3.50360655784607E30,9.34107005596161E28,-6.61667764186859E29
2.63750017620623E-6,1.64803415536881E28,1.42251560464501E28,9.4495689868927E29,8.63763570785522E29,6.20705890655518E30,4.62443017959595E30,6.46043360233307E29,-3.47439885139465E30,9.37965735793114E28,-5.64135432243347E29
2.97678005881608E-6,1.64238642901182E28,1.41761936247349E28,9.42720413208008E29,8.61370444297791E29,6.28926134109497E30,4.79650259017944E30,6.63880944252014E29,-3.52939510345459E30,9.43187102675438E28,-5.9587961435318E29
3.69978020898998E-6,1.62290818989277E28,1.40065094456077E28,9.30965602397919E29,8.50862681865692E29,6.09487247467041E30,4.43704414367676E30,6.44844710826874E29,-3.47371768951416E30,9.49273630976677E28,-5.36620736122131E29
4.05661016702652E-6,1.61478314548731E28,1.39357158914208E28,9.2606782913208E29,8.46072256565094E29,6.12354850769043E30,4.40566635131836E30,6.74793124198914E29,-3.4866955280304E30,9.55250561237335E28,-5.94493687152863E29
4.19828994199634E-6,1.61047950387001E28,1.389832329005E28,9.2404168844223E29,8.44299256801605E29,6.11050415039063E30,4.42470121383667E30,6.72376036643982E29,-3.49745345115662E30,9.57508310675621E28,-5.77130138874054E29
5.20340027287602E-6,1.57861653715372E28,1.3620886951685E28,9.06893968582153E29,8.2778012752533E29,6.27636003494263E30,4.73577785491943E30,7.34743416309357E29,-3.57079768180847E30,9.76381078362465E28,-6.71841502189636E29
